timestamp_nano,timestamp_iso,symbol,open,high,low,close,volume
1704067200000000000,2024-01-01T00:00:00+00:00,ETHUSDT-LINEAR,2283.27,2298.43,2282.24,2297.81,9299.34
1704068100000000000,2024-01-01T00:15:00+00:00,ETHUSDT-LINEAR,2297.81,2298.19,2290.01,2292.01,8753.25
1704069000000000000,2024-01-01T00:30:00+00:00,ETHUSDT-LINEAR,2292.01,2296.04,2289.44,2294.58,10130.3
1704069900000000000,2024-01-01T00:45:00+00:00,ETHUSDT-LINEAR,2294.58,2298.43,2293.31,2296.59,9447.58
1704070800000000000,2024-01-01T01:00:00+00:00,ETHUSDT-LINEAR,2296.59,2298.59,2294.14,2297.97,9874.4
1704071700000000000,2024-01-01T01:15:00+00:00,ETHUSDT-LINEAR,2297.97,2302.09,2297.72,2300.22,12299.5
1704072600000000000,2024-01-01T01:30:00+00:00,ETHUSDT-LINEAR,2300.22,2308.09,2300.22,2304.56,8207.16
1704073500000000000,2024-01-01T01:45:00+00:00,ETHUSDT-LINEAR,2304.56,2307.97,2304.48,2305.01,5838.84
1704074400000000000,2024-01-01T02:00:00+00:00,ETHUSDT-LINEAR,2305.01,2306.38,2298.81,2300.49,5497.34
1704075300000000000,2024-01-01T02:15:00+00:00,ETHUSDT-LINEAR,2300.49,2300.5,2296.87,2298.09,6204.85
1704076200000000000,2024-01-01T02:30:00+00:00,ETHUSDT-LINEAR,2298.09,2301.16,2295.67,2296.17,7795.35
1704077100000000000,2024-01-01T02:45:00+00:00,ETHUSDT-LINEAR,2296.17,2296.84,2292.41,2294.41,9777.22
1704078000000000000,2024-01-01T03:00:00+00:00,ETHUSDT-LINEAR,2294.41,2296.0,2289.44,2289.99,12577.47
1704078900000000000,2024-01-01T03:15:00+00:00,ETHUSDT-LINEAR,2289.99,2290.16,2282.0,2283.78,12599.05
1704079800000000000,2024-01-01T03:30:00+00:00,ETHUSDT-LINEAR,2283.78,2285.13,2274.19,2277.37,17929.81
1704080700000000000,2024-01-01T03:45:00+00:00,ETHUSDT-LINEAR,2277.37,2278.73,2271.7,2275.03,10384.24
1704081600000000000,2024-01-01T04:00:00+00:00,ETHUSDT-LINEAR,2275.03,2280.0,2272.67,2275.11,9843.29
1704082500000000000,2024-01-01T04:15:00+00:00,ETHUSDT-LINEAR,2275.11,2275.55,2266.01,2272.93,10135.51
1704083400000000000,2024-01-01T04:30:00+00:00,ETHUSDT-LINEAR,2272.93,2277.3,2272.53,2275.57,5078.32
1704084300000000000,2024-01-01T04:45:00+00:00,ETHUSDT-LINEAR,2275.57,2280.73,2273.83,2280.73,6574.23
1704085200000000000,2024-01-01T05:00:00+00:00,ETHUSDT-LINEAR,2280.73,2284.48,2276.9,2284.18,7244.81
1704086100000000000,2024-01-01T05:15:00+00:00,ETHUSDT-LINEAR,2284.18,2284.68,2277.79,2280.05,7757.43
1704087000000000000,2024-01-01T05:30:00+00:00,ETHUSDT-LINEAR,2280.05,2281.67,2277.29,2280.63,8879.95
1704087900000000000,2024-01-01T05:45:00+00:00,ETHUSDT-LINEAR,2280.63,2280.63,2273.6,2277.26,8014.22
1704088800000000000,2024-01-01T06:00:00+00:00,ETHUSDT-LINEAR,2277.26,2279.92,2275.43,2276.0,9168.86
1704089700000000000,2024-01-01T06:15:00+00:00,ETHUSDT-LINEAR,2276.0,2281.5,2275.26,2276.88,9426.17
1704090600000000000,2024-01-01T06:30:00+00:00,ETHUSDT-LINEAR,2276.88,2283.42,2276.53,2282.19,13948.78
1704091500000000000,2024-01-01T06:45:00+00:00,ETHUSDT-LINEAR,2282.19,2284.75,2281.46,2282.62,11820.32
1704092400000000000,2024-01-01T07:00:00+00:00,ETHUSDT-LINEAR,2282.62,2287.61,2282.46,2285.06,13357.14
1704093300000000000,2024-01-01T07:15:00+00:00,ETHUSDT-LINEAR,2285.06,2287.4,2283.19,2286.95,10137.11
1704094200000000000,2024-01-01T07:30:00+00:00,ETHUSDT-LINEAR,2286.95,2289.0,2284.83,2284.83,9765.24
1704095100000000000,2024-01-01T07:45:00+00:00,ETHUSDT-LINEAR,2284.83,2286.41,2283.0,2285.7,4463.31
1704096000000000000,2024-01-01T08:00:00+00:00,ETHUSDT-LINEAR,2285.7,2288.7,2285.22,2286.31,6717.61
1704096900000000000,2024-01-01T08:15:00+00:00,ETHUSDT-LINEAR,2286.31,2288.45,2283.33,2284.12,5712.18
1704097800000000000,2024-01-01T08:30:00+00:00,ETHUSDT-LINEAR,2284.12,2285.05,2281.32,2282.69,7335.22
1704098700000000000,2024-01-01T08:45:00+00:00,ETHUSDT-LINEAR,2282.69,2288.5,2282.19,2288.5,6507.4
1704099600000000000,2024-01-01T09:00:00+00:00,ETHUSDT-LINEAR,2288.5,2292.88,2288.02,2290.84,7991.74
