timestamp_nano,timestamp_iso,symbol,open,high,low,close,volume
1704067200000000000,2024-01-01T00:00:00+00:00,SOLUSDT-LINEAR,101.8436,102.9386,101.6959,102.5446,1986.0
1704068100000000000,2024-01-01T00:15:00+00:00,SOLUSDT-LINEAR,102.5446,102.7037,101.8481,102.2307,1102.0
1704069000000000000,2024-01-01T00:30:00+00:00,SOLUSDT-LINEAR,102.2307,102.6006,101.7624,102.3413,1012.0
1704069900000000000,2024-01-01T00:45:00+00:00,SOLUSDT-LINEAR,102.3413,102.4533,102.1088,102.1392,668.0
1704070800000000000,2024-01-01T01:00:00+00:00,SOLUSDT-LINEAR,102.1392,102.7304,101.7717,102.5464,1268.0
1704071700000000000,2024-01-01T01:15:00+00:00,SOLUSDT-LINEAR,102.5464,102.672,102.3516,102.5509,541.0
1704072600000000000,2024-01-01T01:30:00+00:00,SOLUSDT-LINEAR,102.5509,104.6248,102.5393,104.4335,2911.0
1704073500000000000,2024-01-01T01:45:00+00:00,SOLUSDT-LINEAR,104.4335,104.901,103.8935,104.279,2218.0
1704074400000000000,2024-01-01T02:00:00+00:00,SOLUSDT-LINEAR,104.279,104.3642,103.4842,103.709,1234.0
1704075300000000000,2024-01-01T02:15:00+00:00,SOLUSDT-LINEAR,103.709,103.8974,103.3202,103.714,892.0
1704076200000000000,2024-01-01T02:30:00+00:00,SOLUSDT-LINEAR,103.714,104.4734,103.6659,104.0579,1041.0
1704077100000000000,2024-01-01T02:45:00+00:00,SOLUSDT-LINEAR,104.0579,104.3797,103.7673,103.838,1041.0
1704078000000000000,2024-01-01T03:00:00+00:00,SOLUSDT-LINEAR,103.838,104.1442,103.4266,103.4689,760.0
1704078900000000000,2024-01-01T03:15:00+00:00,SOLUSDT-LINEAR,103.4689,103.5094,102.774,103.0804,1352.0
1704079800000000000,2024-01-01T03:30:00+00:00,SOLUSDT-LINEAR,103.0804,103.7495,102.7945,103.1908,1126.0
1704080700000000000,2024-01-01T03:45:00+00:00,SOLUSDT-LINEAR,103.1908,103.2116,102.6218,103.206,1225.0
1704081600000000000,2024-01-01T04:00:00+00:00,SOLUSDT-LINEAR,103.206,104.1324,102.783,102.8176,1555.0
1704082500000000000,2024-01-01T04:15:00+00:00,SOLUSDT-LINEAR,102.8176,102.963,101.6737,102.2786,2102.0
1704083400000000000,2024-01-01T04:30:00+00:00,SOLUSDT-LINEAR,102.2786,102.5203,101.9843,102.2293,871.0
1704084300000000000,2024-01-01T04:45:00+00:00,SOLUSDT-LINEAR,102.2293,102.7779,102.1805,102.7646,738.0
1704085200000000000,2024-01-01T05:00:00+00:00,SOLUSDT-LINEAR,102.7646,102.916,102.4717,102.916,720.0
1704086100000000000,2024-01-01T05:15:00+00:00,SOLUSDT-LINEAR,102.916,102.9584,102.3786,102.4552,937.0
1704087000000000000,2024-01-01T05:30:00+00:00,SOLUSDT-LINEAR,102.4552,102.4943,102.1167,102.3232,1165.0
1704087900000000000,2024-01-01T05:45:00+00:00,SOLUSDT-LINEAR,102.3232,102.3248,101.5191,101.7517,1727.0
1704088800000000000,2024-01-01T06:00:00+00:00,SOLUSDT-LINEAR,101.7517,102.2334,101.6346,101.8205,809.0
1704089700000000000,2024-01-01T06:15:00+00:00,SOLUSDT-LINEAR,101.8205,102.3407,101.7073,102.1772,432.0
