timestamp_nano,timestamp_iso,symbol,open,high,low,close,volume
1704067200000000000,2024-01-01T00:00:00+00:00,DOGEUSDT-LINEAR,0.089537,0.089903,0.089459,0.08984,785279.0
1704068100000000000,2024-01-01T00:15:00+00:00,DOGEUSDT-LINEAR,0.08984,0.08996,0.089716,0.089807,643109.0
1704069000000000000,2024-01-01T00:30:00+00:00,DOGEUSDT-LINEAR,0.089807,0.090026,0.089782,0.089873,1221611.0
1704069900000000000,2024-01-01T00:45:00+00:00,DOGEUSDT-LINEAR,0.089873,0.089949,0.089816,0.089905,314120.0
1704070800000000000,2024-01-01T01:00:00+00:00,DOGEUSDT-LINEAR,0.089905,0.089918,0.089564,0.089785,507817.0
1704071700000000000,2024-01-01T01:15:00+00:00,DOGEUSDT-LINEAR,0.089785,0.090037,0.089736,0.090009,630815.0
1704072600000000000,2024-01-01T01:30:00+00:00,DOGEUSDT-LINEAR,0.090009,0.090222,0.090005,0.090106,1120509.0
1704073500000000000,2024-01-01T01:45:00+00:00,DOGEUSDT-LINEAR,0.090106,0.090263,0.090106,0.090155,294859.0
1704074400000000000,2024-01-01T02:00:00+00:00,DOGEUSDT-LINEAR,0.090155,0.090205,0.090017,0.090066,344695.0
1704075300000000000,2024-01-01T02:15:00+00:00,DOGEUSDT-LINEAR,0.090066,0.090126,0.089968,0.090006,239948.0
1704076200000000000,2024-01-01T02:30:00+00:00,DOGEUSDT-LINEAR,0.090006,0.090164,0.089976,0.090022,368898.0
1704077100000000000,2024-01-01T02:45:00+00:00,DOGEUSDT-LINEAR,0.090022,0.090034,0.089802,0.089853,591418.0
1704078000000000000,2024-01-01T03:00:00+00:00,DOGEUSDT-LINEAR,0.089853,0.089998,0.089788,0.089834,550712.0
1704078900000000000,2024-01-01T03:15:00+00:00,DOGEUSDT-LINEAR,0.089834,0.089881,0.089454,0.089528,1469525.0
1704079800000000000,2024-01-01T03:30:00+00:00,DOGEUSDT-LINEAR,0.089528,0.089648,0.089144,0.089277,1404176.0
1704080700000000000,2024-01-01T03:45:00+00:00,DOGEUSDT-LINEAR,0.089277,0.089409,0.089143,0.089283,583652.0
1704081600000000000,2024-01-01T04:00:00+00:00,DOGEUSDT-LINEAR,0.089283,0.089505,0.089104,0.089172,641234.0
1704082500000000000,2024-01-01T04:15:00+00:00,DOGEUSDT-LINEAR,0.089172,0.089198,0.088524,0.089096,2259807.0
1704083400000000000,2024-01-01T04:30:00+00:00,DOGEUSDT-LINEAR,0.089096,0.089117,0.088795,0.088877,534666.0
1704084300000000000,2024-01-01T04:45:00+00:00,DOGEUSDT-LINEAR,0.088877,0.089237,0.088792,0.089187,380346.0
1704085200000000000,2024-01-01T05:00:00+00:00,DOGEUSDT-LINEAR,0.089187,0.089314,0.089083,0.08931,138164.0
1704086100000000000,2024-01-01T05:15:00+00:00,DOGEUSDT-LINEAR,0.08931,0.089399,0.08926,0.089363,117798.0
1704087000000000000,2024-01-01T05:30:00+00:00,DOGEUSDT-LINEAR,0.089363,0.089498,0.089317,0.089493,162801.0
1704087900000000000,2024-01-01T05:45:00+00:00,DOGEUSDT-LINEAR,0.089493,0.089493,0.088944,0.089076,346816.0
1704088800000000000,2024-01-01T06:00:00+00:00,DOGEUSDT-LINEAR,0.089076,0.089115,0.088943,0.089069,171497.0
1704089700000000000,2024-01-01T06:15:00+00:00,DOGEUSDT-LINEAR,0.089069,0.089291,0.089013,0.08924,338813.0
1704090600000000000,2024-01-01T06:30:00+00:00,DOGEUSDT-LINEAR,0.08924,0.089452,0.089239,0.089389,115508.0
1704091500000000000,2024-01-01T06:45:00+00:00,DOGEUSDT-LINEAR,0.089389,0.089564,0.089389,0.089522,153958.0
1704092400000000000,2024-01-01T07:00:00+00:00,DOGEUSDT-LINEAR,0.089522,0.089619,0.089489,0.089535,943715.0
1704093300000000000,2024-01-01T07:15:00+00:00,DOGEUSDT-LINEAR,0.089535,0.089728,0.089441,0.089682,319164.0
1704094200000000000,2024-01-01T07:30:00+00:00,DOGEUSDT-LINEAR,0.089682,0.089771,0.089549,0.089565,190295.0
1704095100000000000,2024-01-01T07:45:00+00:00,DOGEUSDT-LINEAR,0.089565,0.08971,0.089541,0.089677,154912.0
1704096000000000000,2024-01-01T08:00:00+00:00,DOGEUSDT-LINEAR,0.089677,0.089862,0.089588,0.089789,832731.0
1704096900000000000,2024-01-01T08:15:00+00:00,DOGEUSDT-LINEAR,0.089789,0.089863,0.089651,0.089673,249205.0
1704097800000000000,2024-01-01T08:30:00+00:00,DOGEUSDT-LINEAR,0.089673,0.089723,0.089525,0.089601,129760.0
1704098700000000000,2024-01-01T08:45:00+00:00,DOGEUSDT-LINEAR,0.089601,0.089693,0.089539,0.089657,78202.0
1704099600000000000,2024-01-01T09:00:00+00:00,DOGEUSDT-LINEAR,0.089657,0.089667,0.089504,0.089599,259115.0
1704100500000000000,2024-01-01T09:15:00+00:00,DOGEUSDT-LINEAR,0.089599,0.089854,0.089587,0.089759,259452.0
1704101400000000000,2024-01-01T09:30:00+00:00,DOGEUSDT-LINEAR,0.089759,0.089886,0.089747,0.089753,372430.0
1704102300000000000,2024-01-01T09:45:00+00:00,DOGEUSDT-LINEAR,0.089753,0.089864,0.089685,0.089804,363332.0
1704103200000000000,2024-01-01T10:00:00+00:00,DOGEUSDT-LINEAR,0.089804,0.089947,0.089767,0.089767,771045.0
