timestamp_nano,timestamp_iso,symbol,contributors_active,contributors_created,interactions,posts_active,posts_created,sentiment,spam,alt_rank,circulating_supply,close,galaxy_score,high,low,market_cap,market_dominance,open,social_dominance,volume_24h,market_categories
1704063600000000000,2023-12-31T23:00:00.000000000Z,BTCUSDT-LINEAR,13577,474,3479639,26767,611,83,7272,17,19586137,42172.0,40,42172.0,42101.95,825159153325,50.125,42172.0,19.8133,16397498810,"[""layer-1"", ""bitcoin-ecosystem"", ""pow""]"
1704067200000000000,2024-01-01T00:00:00.000000000Z,BTCUSDT-LINEAR,13425,205,3819911,26053,258,84,6996,27,19586162,42412.0,62,42412.0,42277.73,831124150978,50.4355,42280.24,20.2254,16590638778,"[""layer-1"", ""bitcoin-ecosystem"", ""pow""]"
1704070800000000000,2024-01-01T01:00:00.000000000Z,BTCUSDT-LINEAR,13444,387,3516712,26446,553,83,6882,17,19586206,42506.0,62,42506.0,42433.78,832449838804,50.2555,42446.0,19.9669,16791328731,"[""layer-1"", ""bitcoin-ecosystem"", ""pow""]"
1704074400000000000,2024-01-01T02:00:00.000000000Z,BTCUSDT-LINEAR,13116,209,3040228,25726,341,84,6927,27,19586275,42576.0,61,42576.0,42506.36,832966538024,50.0956,42576.0,19.8338,16633388620,"[""layer-1"", ""bitcoin-ecosystem"", ""pow""]"
1704078000000000000,2024-01-01T03:00:00.000000000Z,BTCUSDT-LINEAR,12836,248,3070050,25269,401,84,6792,25,19586318,42426.0,55,42426.0,42270.76,831007658242,50.1022,42426.0,20.1908,16745965646,"[""layer-1"", ""bitcoin-ecosystem"", ""pow""]"
1704081600000000000,2024-01-01T04:00:00.000000000Z,BTCUSDT-LINEAR,12529,261,3144134,24745,482,84,6766,12,19586350,42312.0,54,42312.0,42227.98,828053750179,50.2614,42312.0,19.8551,16794660214,"[""layer-1"", ""bitcoin-ecosystem"", ""pow""]"
1704085200000000000,2024-01-01T05:00:00.000000000Z,BTCUSDT-LINEAR,12674,456,3270061,25075,636,84,6886,11,19586406,42307.0,54,42307.0,42217.11,828846062791,50.2994,42307.0,20.4154,16823811261,"[""layer-1"", ""bitcoin-ecosystem"", ""pow""]"
1704088800000000000,2024-01-01T06:00:00.000000000Z,BTCUSDT-LINEAR,13088,800,3253847,25852,1072,84,7032,10,19586437,42347.0,59,42347.0,42214.98,828565602357,50.4158,42234.29,20.693,16887192570,"[""layer-1"", ""bitcoin-ecosystem"", ""pow""]"
1704092400000000000,2024-01-01T07:00:00.000000000Z,BTCUSDT-LINEAR,13122,470,5736023,25962,673,86,7060,252,19586468,42488.0,60,42488.0,42402.06,832140825033,50.4188,42402.06,20.2869,16242636608,"[""layer-1"", ""bitcoin-ecosystem"", ""pow""]"
1704096000000000000,2024-01-01T08:00:00.000000000Z,BTCUSDT-LINEAR,13282,434,3817218,26171,565,85,7090,20,19586525,42481.0,55,42481.0,42464.81,831928415727,50.3177,42475.91,20.6505,16027078375,"[""layer-1"", ""bitcoin-ecosystem"", ""pow""]"
1704099600000000000,2024-01-01T09:00:00.000000000Z,BTCUSDT-LINEAR,13442,390,3852662,26515,588,85,7373,254,19586543,42673.0,57,42673.0,42547.69,834831403118,50.426,42553.77,20.8469,15415759481,"[""layer-1"", ""bitcoin-ecosystem"", ""pow""]"
1704103200000000000,2024-01-01T10:00:00.000000000Z,BTCUSDT-LINEAR,13589,562,3274425,26635,812,84,7092,17,19586575,42687.0,55,42687.0,42645.57,835645317189,50.304,42649.62,20.2491,15237941391,"[""layer-1"", ""bitcoin-ecosystem"", ""pow""]"
1704106800000000000,2024-01-01T11:00:00.000000000Z,BTCUSDT-LINEAR,13573,452,3289366,26738,593,84,7222,16,19586612,42632.0,55,42632.0,42606.08,834851549917,50.195,42632.0,20.4082,15507919424,"[""layer-1"", ""bitcoin-ecosystem"", ""pow""]"
1704110400000000000,2024-01-01T12:00:00.000000000Z,BTCUSDT-LINEAR,13848,767,3433702,27346,1022,84,7356,25,19586643,42784.0,60,42761.06,42631.16,837307199762,50.3294,42687.91,20.1878,15291506454,"[""layer-1"", ""bitcoin-ecosystem"", ""pow""]"
1704114000000000000,2024-01-01T13:00:00.000000000Z,BTCUSDT-LINEAR,13771,565,3595038,27404,845,83,7240,21,19586687,42710.0,55,42710.0,42643.96,836417352239,50.2568,42670.29,20.4186,15103911519,"[""layer-1"", ""bitcoin-ecosystem"", ""pow""]"
1704117600000000000,2024-01-01T14:00:00.000000000Z,BTCUSDT-LINEAR,14058,555,3803723,28221,922,84,7804,19,19586737,42617.0,55,42617.0,42594.3,835106968766,50.0951,42617.0,20.1413,15116004398,"[""layer-1"", ""bitcoin-ecosystem"", ""pow""]"
1704121200000000000,2024-01-01T15:00:00.000000000Z,BTCUSDT-LINEAR,14371,625,3898152,28934,955,84,8138,27,19586793,42669.0,61,42669.0,42606.22,835946488271,50.2551,42630.32,20.639,15142592337,"[""layer-1"", ""bitcoin-ecosystem"", ""pow""]"
1704124800000000000,2024-01-01T16:00:00.000000000Z,BTCUSDT-LINEAR,14494,713,3987652,29649,1213,83,8293,26,19586812,42765.0,63,42765.0,42686.41,837498163361,50.1114,42765.0,20.4753,15189899414,"[""layer-1"", ""bitcoin-ecosystem"", ""pow""]"
1704128400000000000,2024-01-01T17:00:00.000000000Z,BTCUSDT-LINEAR,14807,718,4190765,30049,979,84,8251,32,19586843,42730.0,60,42730.0,42718.1,836716672144,50.133,42723.43,20.3661,15100957352,"[""layer-1"", ""bitcoin-ecosystem"", ""pow""]"
1704132000000000000,2024-01-01T18:00:00.000000000Z,BTCUSDT-LINEAR,14913,552,3709820,30378,827,84,8458,29,19586881,43152.0,67,43152.0,42822.37,844246810222,50.4766,42822.37,20.5976,15792453737,"[""layer-1"", ""bitcoin-ecosystem"", ""pow""]"
1704135600000000000,2024-01-01T19:00:00.000000000Z,BTCUSDT-LINEAR,15478,642,7011843,31627,870,85,9166,17,19586918,43441.0,75,43441.0,43115.66,849274957151,50.4728,43115.66,20.3458,16416530068,"[""layer-1"", ""bitcoin-ecosystem"", ""pow""]"
1704139200000000000,2024-01-01T20:00:00.000000000Z,BTCUSDT-LINEAR,15316,591,4076332,30912,883,84,8672,23,19586962,43750.0,74,43750.0,43532.08,858676471851,50.6773,43532.08,20.1399,17343252674,"[""layer-1"", ""bitcoin-ecosystem"", ""pow""]"
1704142800000000000,2024-01-01T21:00:00.000000000Z,BTCUSDT-LINEAR,15353,587,4091537,31001,818,84,8719,16,19587006,43549.0,68,43549.0,43494.48,852529223757,50.2129,43549.0,20.2569,17643782626,"[""layer-1"", ""bitcoin-ecosystem"", ""pow""]"
1704146400000000000,2024-01-01T22:00:00.000000000Z,BTCUSDT-LINEAR,15351,652,4188614,30871,912,82,8343,40,19587018,43504.0,69,43504.0,43419.24,852366862485,50.2761,43504.0,20.3413,17429909205,"[""layer-1"", ""bitcoin-ecosystem"", ""pow""]"
